
                     Asteroid Classifications
----------------------------------------------------------------
                        Tholen   Barucci
     Minor Planet       Class    Class    Group    Notes
----------------------------------------------------------------
3102 1981 QA            QRS               AMO
3123 Dunham             F
3124 Kansas             CG
3169 Ostro              TS                HUN
3199 Nefertiti          S                 AMO
3200 Phaethon           F                 APO      5
3288 Seleucus           S                 AMO
3551 1983 RD            V                 AMO      6
3552 1983 SA            D                 AMO      6
     1975 EA            CSU
     1975 GB            S
     1975 U2            S                          7
     1977 VA            XC
     1978 CA            S                 AMO
     1979 VA            CF                APO
     1980 WF            QU                APO
     1982 XB            S                 AMO
     1984 BC            D                 MC       6

