
         LEFT = SORTED BY FREQUENCY <*--*> RIGHT = SORTED BY AREA/SERVICE

     <---------------Left--------------> <--------------Right-------------->

     FREQUENCY AREA/SERVICE              AREA/SERVICE              FREQUENCY
       5,320.0 USCG Air                  Drug Enforcement            4,376.0
       5,327.0 Corps of Engineers        Drug Enforcement            6,513.0
       5,328.0 USAF SAC                  Drug Enforcement            8,769.0
       5,346.0 Corps of Engineers        Drug Enforcement           12,220.0
       5,350.0 USAF Coordination         Drug Enforcement           13,150.0
       5,352.0 Civ Av N Afr              Drug Enforcement B          5,841.0
       5,390.0 Bell Can Quebec 3 prim    Drug Enforcement E         11,076.0
       5,399.0 Haitian Navy/CG           Drug Enforcement H         18,666.0
       5,400.0 Corps of Engineers        Dutch CG a/g                6,550.0
       5,424.0 FHWA                      Dutch Navy den Helder       4,429.0
       5,430.0 Bell Can Quebec 4 sec     East Coast Emergency net    7,240.0
       5,436.0 NASA                      EA-1                        6,571.0
       5,437.0 Corps of Engineers        EA-1                        8,897.0
       5,441.0 RAF                       EA-1 SEA-2                  5,655.0
       5,450.0 RN Yeovilton Ops          Edm/Tren Mil                8,989.0
       5,451.0 Flight Test               Edm/Tren Mil               11,265.0
       5,462.0 RAF                       Edm/Tren Mil               11,271.0
       5,463.0 Domestic AK               Edm/Tren Mil wx             3,046.0
       5,463.0 Offshore Drilling         Edm/Tren/StJ Mil           17,995.0
       5,469.0 Flight Test               Edm/Tren/StJ Mil WX         6,753.0
       5,470.0 RAF                       Edm/Tren/StJ Mil WX        15,035.0
       5,472.0 Domestic AK               Egyptair                    8,933.0
       5,477.0 WX Argentina              ETR PRI Night Channel       5,190.0
       5,484.0 Domestic AK               EUR-A                       5,661.0
       5,490.0 Domestic AK               EUR-A                       6,598.0
       5,490.0 LIAT Antigua              EUR-A                      10,084.0
       5,490.0 Norontair S Ste Marie ON  EUR-A                      17,961.0
       5,493.0 AFI-4                     E-CAR                       2,887.0
       5,496.0 Domestic AK               E-CAR                       6,577.0
       5,505.0 Shannon Volmet            E-CAR                      11,387.0
       5,508.0 Offshore Drilling         E-CAR MID-1                 8,918.0
       5,519.0 WX Anchorage              FAA                        13,630.0
       5,519.0 WX Hong Kong              FAA                        20,852.0
       5,519.0 WX Honolulu               FAA                        27,625.0
       5,519.0 WX Oakland                FAA, KDM49                  8,125.0
       5,519.0 WX Tokyo                  FAA Hampton GA              7,903.0
       5,520.0 W-CAR                     FAA KIA21                   7,475.0
       5,526.0 C/NE/SE-SAM               FACSFAC Jacksonville        6,742.0
       5,529.0 Iberia                    FACSFAC Jacksonville       11,252.0
       5,529.0 Sabena                    FACSFAC Oceana              7,467.0
       5,532.0 Aer Lingus                FBI/Utah Natl Guard        14,493.0
       5,532.0 Alitalia                  FEMA                        5,211.0
       5,532.0 LDOC Amsterdam            FEMA                        7,533.5
       5,532.0 LDOC Johannesburg         FEMA                       10,194.0
       5,532.0 LDOC Prague               FEMA                       10,493.0
       5,532.0 TAP Portuguese airline    FEMA                       10,588.0
       5,535.0 LDOC  Lima Peru           FEMA                       14,450.0
       5,535.0 LDOC London               FEMA                       14,776.0
       5,535.0 LDOC Trinidad             FEMA                       16,201.0
       5,538.0 Middle East Airlines      FEMA                       18,023.0
       5,541.0 LDOC Stockholm            FEMA                       21,272.0
       5,544.0 LDOC Mexico City          FEMA                       28,091.0
       5,547.0 CEP-5                     FEMA Mt Weather VA         12,070.0
       5,550.0 CAR                       FHWA                        3,199.5
       5,562.0 Hurricane Ctr Miami A/G   FHWA                        3,304.5
       5,565.0 SAT-1/2                   FHWA                        4,902.0
       5,571.0 US Customs Channel YB     FHWA                        5,255.0
       5,574.0 Civ Av Ctl E Pac          FHWA                        5,424.0
       5,598.0 NAT-A                     FHWA                        7,419.0
       5,604.0 Rainbow Radio             FHWA                        7,726.5
       5,610.0 LDOC Portishead           FHWA                        7,743.0
       5,616.0 NAT-B/C                   FHWA                        7,821.0
       5,628.0 NP-3                      FHWA                        9,169.0
       5,628.0 NP-4                      FHWA                        9,197.0
       5,631.0 Domestic AK               FHWA                       10,918.0
       5,634.0 INO-1                     FHWA                       11,518.7
       5,643.0 SP-6                      FHWA                       12,158.0
       5,643.0 SP-7                      FHWA                       12,178.7
       5,649.0 NAT-B/C SEA-2             FHWA                       14,461.0
       5,652.0 AFI-2 CWP-1/2 AFI-2       FHWA                       15,910.0
       5,655.0 EA-1 SEA-2                FHWA                       16,211.5
       5,658.0 AFI-3 MID-2               FHWA                       17,525.0
       5,661.0 EUR-A                     FHWA                       19,223.0
       5,664.0 NCA-3                     FHWA Emerg broadcast       10,891.0
       5,667.0 MID-1                     Flight Test                 3,004.0
       5,676.0 Civ Av N Ctl Asia         Flight Test                 3,281.0
       5,680.0 Air/sea SAR worldwide     Flight Test                 3,443.0
       5,680.0 Canada North Civil Av     Flight Test                 5,451.0
       5,684.0 Halifax Military          Flight Test                 5,469.0
       5,684.0 USAF SAC                  Flight Test                 6,550.0
       5,685.0 RAF                       Flight Test                 8,822.0
       5,688.0 USAF GCCS                 Flight Test                10,045.0
       5,690.0 Canada MACS VOLMET        Flight test                11,288.0
       5,690.0 Carib interisland police  Flight test                11,306.0
       5,692.0 USCG Helos                Flight test                13,312.0
       5,696.0 USCG A/G                  Flight Test                17,964.0
       5,700.0 USAF SAC                  Flight Test                21,931.0
       5,703.0 Canada MACS               French Canadian fixed       5,164.0
       5,703.0 USAF GCCS                 Gander                      2,298.0
       5,710.0 USAF GCCS                 German Air Force           11,187.0
       5,718.0 Canada Search & Rescue    German Air Force           17,992.0
       5,721.0 RAF                       German Air Force           18,006.0
       5,729.0 RAF                       Gulf Air                    6,526.0
       5,737.0 Chalk Airlines            Gulf Air                   10,093.0
       5,747.0 RAF                       Gulf Air                   11,354.0
       5,752.5 DOE                       Gulf Air                   21,943.0
       5,760.0 USAF Mystic               Gulf of Mexico              4,550.0
       5,800.0 USAF Mystic               Gulf of Mexico              5,036.0
       5,810.0 USAF Coordination         Gulf Oil Rigs               4,637.5
       5,820.0 USAF Mystic               Haitian Navy/CG             5,399.0
       5,826.0 USAF SAC                  Halifax Mil WX             15,038.0
       5,841.0 Drug Enforcement B        Halifax Military            5,684.0
       5,887.5 Alaska                    Harbour Control             2,714.0
