
         LEFT = SORTED BY FREQUENCY <*--*> RIGHT = SORTED BY AREA/SERVICE

     <---------------Left--------------> <--------------Right-------------->

     FREQUENCY AREA/SERVICE              AREA/SERVICE              FREQUENCY
      21,988.0 WW Berna                  WX Argentina               11,319.0
      21,994.0 LDOC Africa               WX Auckland                13,282.0
      21,994.0 LDOC Jeddah               WX Bangkok                  3,432.0
      21,997.0 LDOC Europe               WX Bangkok                  6,676.0
      21,997.0 LDOC Stockholm            WX Bangkok                 11,387.0
      22,012.0 Scheveningen Ship Main    WX Brazil                   6,603.0
      22,015.0 Portishead Ships          WX Brazil                  10,057.0
      22,159.0 Ship/Ship                 WX Brazil                  13,352.0
      22,162.0 Ship/Ship                 WX Brazzaville              3,495.0
      22,165.0 Ship/Ship                 WX Brazzaville              6,617.0
      22,168.0 Ship/Ship                 WX Brazzaville             10,073.0
      22,171.0 Ship/Ship                 WX Dakar                    3,707.0
      22,687.0 ATL Fleet Ships           WX Dakar                    7,500.0
      22,708.0 Scheveningen Coast H05    WX Gander                   3,485.0
      22,711.0 Portishead Coast          WX Gander                   6,604.0
      22,722.0 Medical Owings MD         WX Gander                  10,051.0
      22,723.0 USAF Mystic               WX Gander                  13,270.0
      23,206.0 TAC                       WX Hong Kong                5,519.0
      23,210.0 LDOC Stockholm            WX Hong Kong                8,903.0
      23,214.0 US Customs Channel TD     WX Hong Kong               13,344.0
      23,220.0 USAF Flight WX            WX Honolulu                 2,980.0
      23,224.0 ATL Fleet Aircraft        WX Honolulu                 5,519.0
      23,226.0 RAF                       WX Honolulu                 8,903.0
      23,227.0 USAF GCCS                 WX Honolulu                13,282.0
      23,236.0 RAF                       WX Honolulu                13,344.0
      23,250.0 Canada MACS               WX Khabarovsk              13,267.0
      23,265.0 USAF Mystic               WX New York                 3,485.0
      23,285.0 WW Berna                  WX New York                 6,604.0
      23,287.0 USN HICOM LANT/CARIB      WX New York                10,051.0
      23,337.0 USAF SAC                  WX New York                13,270.0
      23,403.0 DEA I Alt day             WX Oakland                  2,980.0
      23,413.0 NASA Cape Radio           WX Oakland                  5,519.0
      23,419.0 USAF SAC                  WX Oakland                  8,903.0
      23,675.0 DEA                       WX Oakland                 13,344.0
      24,860.0 Lat AM USAF Co-op         WX RAF UK                   4,722.0
      24,865.0 Lat AM USAF Co-op         WX RAF UK                  11,200.0
      25,350.0 US Customs Channel TE     WX S Am                    13,352.0
      25,433.0 USAF Andrews AFB          WX Shannon                  8,957.0
      25,500.0 WW Berna                  WX Shannon                 13,264.0
      25,578.0 USAF Mystic               WX Singapore                6,676.0
      26,471.0 USAF Mystic               WX Singapore               11,387.0
      26,620.0 CAP AM/LSB/USB            WX Sydney                   6,507.0
      27,625.0 FAA                       WX Tokyo                    2,980.0
      27,870.0 US Customs Channel VA     WX Tokyo                    5,519.0
      27,998.0 Intl Red Cross Switzerlnd WX Tokyo                    8,903.0
      28,091.0 FEMA                      WX Tokyo                   13,344.0
      28,450.0 Hurricane Puerto Rico Net W-CAR                       3,455.0
      29,701.0 Intl Red Cross Switzerlnd W-CAR                       5,520.0
      90,000.0 zz                        zz                         90,000.0
